"","symbol","log2FoldChange","pvalue","padj"
"ENSG00000152583","SPARCL1",4.57496679448101,4.110667081532e-136,9.19515119467893e-132
"ENSG00000165995","CACNB2",3.29109887177952,4.46338440427616e-135,9.98414457392534e-131
"ENSG00000120129","DUSP1",2.94784977790595,3.03383956719317e-129,6.7863957278544e-125
"ENSG00000101347","SAMHD1",3.76702165770114,7.68265721229317e-129,1.71853359181786e-124
"ENSG00000189221","MAOA",3.35365484627241,5.21270576452875e-123,1.16603015246744e-118
"ENSG00000211445","GPX3",3.73043925959341,2.58505912900232e-111,5.78251876566528e-107
"ENSG00000157214","STEAP2",1.97679565168803,6.09134865192046e-106,1.36257377994809e-101
"ENSG00000162614","NEXN",2.03569683138985,1.56546234486846e-102,3.50178271923625e-98
"ENSG00000125148","MT2A",2.211005678728,1.84964422669747e-96,4.13746917069958e-92
"ENSG00000154734","ADAMTS1",2.34563484246283,2.26675656906762e-90,5.07050776934735e-86
"ENSG00000139132","FGD4",2.22892888511727,1.72987633767374e-86,3.86956037974239e-82
"ENSG00000162493","PDPN",1.8912507855493,2.08475769239069e-86,4.66339448210873e-82
"ENSG00000134243","SORT1",2.19572522999979,7.48117697860805e-85,1.67346447834483e-80
"ENSG00000179094","PER1",3.19178842275936,2.57518274502659e-84,5.76042628234998e-80
"ENSG00000162692","VCAM1",-3.69257883206757,4.47628019340732e-84,1.00129911646328e-79
"ENSG00000163884","KLF15",4.45916919420303,1.9906193112453e-80,4.4528163373246e-76
"ENSG00000178695","KCTD12",-2.52817101093813,1.94338885816889e-78,4.34716653683798e-74
"ENSG00000198624","CCDC69",2.91847590239066,7.69555582504821e-73,1.72141888250503e-68
"ENSG00000148848","ADAM12",-1.81451079211123,1.63685981340589e-72,3.66149171660764e-68
"ENSG00000107562","CXCL12",-1.91163716818406,2.54996726013866e-72,5.70402176420417e-68
"ENSG00000146250","PRSS35",-2.7561836028945,3.52605333224933e-71,7.88742869890852e-67
"ENSG00000106976","DNM1",-1.75622283812889,2.99651900148228e-69,6.70291335441572e-65
"ENSG00000154930","ACSS1",1.89855975811526,2.60506153356021e-68,5.82726214442083e-64
"ENSG00000163394","CCKAR",-2.18849632281716,8.10766366670084e-68,1.81360328560431e-63
"ENSG00000253368","TRNP1",1.98909855961145,2.13866190598334e-67,4.78397281749414e-63
"ENSG00000163661","PTX3",2.26029901629854,2.00711300822003e-66,4.48971108808738e-62
"ENSG00000162616","DNAJB4",1.51914530048025,2.19473736940748e-66,4.90940802162759e-62
"ENSG00000124766","SOX4",-2.41199917442462,1.48172959380993e-65,3.31448092839344e-61
"ENSG00000148175","STOM",1.44790315413864,3.16391387287516e-65,7.07735894223445e-61
"ENSG00000197381","ADARB1",2.32111777250703,3.20185074248248e-65,7.16221992585906e-61
"ENSG00000172403","SYNPO2",1.74439261875808,2.55244789079395e-63,5.70957068691698e-59
"ENSG00000116285","ERRFI1",2.4245454368468,5.31820936184603e-63,1.18963025215134e-58
"ENSG00000163083","INHBB",3.45008797111817,1.86722809672837e-61,4.17680252957169e-57
"ENSG00000166741","NNMT",2.18740836425188,4.55830623979067e-59,1.01964752277877e-54
"ENSG00000070404","FSTL3",1.81553988157877,2.33864690744006e-57,5.23131926725268e-53
"ENSG00000105989","WNT2",-3.04198433758216,4.01042437624064e-57,8.97091828721268e-53
"ENSG00000122035","RASL11A",2.28888428084314,4.11818067804927e-56,9.21195835872841e-52
"ENSG00000119139","TJP2",1.92796423988314,1.27348979585763e-55,2.84866932435394e-51
"ENSG00000136478","TEX2",1.46584799202288,2.78755845779688e-55,6.23548951424584e-51
"ENSG00000196569","LAMA2",2.03067033524043,1.90040312102544e-52,4.2510117414218e-48
"ENSG00000108821","COL1A1",-1.30491859104933,6.20787408748632e-52,1.38863935462981e-47
"ENSG00000221866","PLXNA4",2.75317274878589,1.03434507638921e-51,2.31372650137502e-47
"ENSG00000100242","SUN2",1.85906676252756,2.42534952977757e-51,5.42526436315944e-47
"ENSG00000172986","GXYLT2",-1.57287441149053,2.44381081433592e-51,5.46656041058801e-47
"ENSG00000145685","LHFPL2",-1.23991059061105,3.91723993318746e-51,8.76247400654704e-47
"ENSG00000134686","PHC2",1.38758324462713,4.0120100762163e-51,8.97446533948824e-47
"ENSG00000060718","COL11A1",2.42734809208389,4.04105047146018e-51,9.03942579960928e-47
"ENSG00000099337","KCNK6",2.71832699288339,6.88002069686813e-51,1.53899182968243e-46
"ENSG00000157150","TIMP4",2.94523647868418,8.11079011318424e-51,1.81430264041818e-46
"ENSG00000126803","HSPA2",2.45877945685132,1.15889216604859e-50,2.5923258862341e-46
"ENSG00000102804","TSC22D1",1.20142039212373,1.60273024760785e-50,3.58514729087401e-46
"ENSG00000138316","ADAMTS14",-2.50718416647069,1.04899629853948e-49,2.34649982020296e-45
"ENSG00000133142","TCEAL4",1.53911957758764,1.79503351916576e-49,4.0153104790219e-45
"ENSG00000131389","SLC6A6",-2.12489464850381,1.94555395079145e-48,4.3520096325254e-44
"ENSG00000168309","FAM107A",4.83499938097495,1.99225781131189e-48,4.45648149812356e-44
"ENSG00000103196","CRISPLD2",2.63129831703915,2.44831174046686e-48,5.47662853225031e-44
"ENSG00000124440","HIF3A",2.53000752187396,3.88244468280033e-48,8.68464051095607e-44
"ENSG00000152268",NA,1.91301788356093,5.03268762589162e-48,1.1257618950357e-43
